Game,Date,Date,Date,Team A,Team A,Team A,Team B,Team B,Team B,
Number,Year,Month,Day,ID,Goals,Win,ID,Goals,Win,Ended In?
437,2015,12,12,14,1,0,4,2,1,1
438,2015,12,12,19,3,1,9,2,0,1
439,2015,12,12,20,4,0,5,5,1,1
440,2015,12,12,21,1,0,16,3,1,0
441,2015,12,12,8,3,1,17,2,0,0
442,2015,12,12,15,2,1,24,0,0,0
443,2015,12,12,10,0,0,25,3,1,0
444,2015,12,12,29,2,1,26,1,0,0
445,2015,12,13,28,0,0,7,4,1,0
446,2015,12,13,18,0,0,19,4,1,0
447,2015,12,13,8,3,1,25,1,0,0
448,2015,12,14,12,3,1,3,2,0,1
449,2015,12,14,26,2,1,9,1,0,0
450,2015,12,14,4,2,1,11,1,0,0
451,2015,12,14,14,3,0,21,5,1,0
452,2015,12,14,29,4,1,23,1,0,0
453,2015,12,15,18,2,1,4,0,0,0
454,2015,12,15,8,3,1,7,0,0,0
455,2015,12,15,9,1,0,10,5,1,0
456,2015,12,15,28,2,0,15,6,1,0
457,2015,12,15,24,3,1,16,1,0,0
458,2015,12,15,5,2,1,17,1,0,1
459,2015,12,15,13,5,1,19,1,0,0
460,2015,12,15,12,2,0,20,4,1,0
461,2015,12,15,6,3,0,22,4,1,1
462,2015,12,15,26,5,1,27,4,0,1
463,2015,12,15,25,4,1,30,3,0,0
464,2015,12,16,23,0,0,3,3,1,0
465,2015,12,16,21,1,0,29,2,1,0
466,2015,12,17,9,7,1,2,5,0,0
467,2015,12,17,1,0,0,4,3,1,0
468,2015,12,17,12,0,0,7,4,1,0
469,2015,12,17,19,1,0,8,2,1,0
470,2015,12,17,5,3,1,10,1,0,0
471,2015,12,17,20,2,0,15,5,1,0
472,2015,12,17,14,3,1,16,0,0,0
473,2015,12,17,13,5,1,18,1,0,0
474,2015,12,17,28,0,0,22,2,1,0
475,2015,12,17,17,1,0,25,2,1,0
476,2015,12,17,24,5,1,27,4,0,1
477,2015,12,18,13,2,1,6,0,0,0
478,2015,12,18,28,4,1,11,3,0,2
479,2015,12,18,24,2,0,21,4,1,0
480,2015,12,18,3,6,1,23,2,0,0
481,2015,12,18,20,2,0,30,5,1,0
482,2015,12,18,26,3,0,29,5,1,0
483,2015,12,19,19,0,0,2,1,1,0
484,2015,12,19,7,3,1,4,2,0,2
485,2015,12,19,22,2,0,9,3,1,2
486,2015,12,19,12,1,0,8,5,1,0
487,2015,12,19,16,2,0,10,6,1,0
488,2015,12,19,1,2,1,18,1,0,0
489,2015,12,19,15,2,0,17,3,1,0
490,2015,12,19,6,2,1,23,1,0,0
491,2015,12,19,5,2,0,25,3,1,0
492,2015,12,19,14,0,0,27,5,1,0
493,2015,12,20,18,1,0,3,2,1,2
494,2015,12,20,24,3,0,7,4,1,1
495,2015,12,20,5,2,0,11,4,1,0
496,2015,12,20,28,4,0,13,5,1,2
497,2015,12,20,29,7,1,20,3,0,0
498,2015,12,20,21,2,0,26,5,1,0
499,2015,12,21,29,2,1,6,1,0,0
500,2015,12,21,27,7,1,8,4,0,0
501,2015,12,21,30,1,0,12,3,1,0
502,2015,12,21,10,6,1,15,3,0,0
503,2015,12,21,16,1,0,17,5,1,0
504,2015,12,21,1,2,0,19,5,1,0
505,2015,12,21,25,3,0,22,4,1,0
506,2015,12,21,9,2,0,23,5,1,0
507,2015,12,22,27,2,0,2,3,1,0
508,2015,12,22,25,2,1,3,0,0,0
509,2015,12,22,30,1,0,5,4,1,0
510,2015,12,22,7,0,0,10,4,1,0
511,2015,12,22,18,4,1,11,3,0,0
512,2015,12,22,21,1,0,13,2,1,2
513,2015,12,22,24,5,1,14,3,0,0
514,2015,12,22,16,1,0,15,2,1,0
515,2015,12,22,1,2,0,20,3,1,1
516,2015,12,22,28,2,1,26,1,0,0
517,2015,12,26,14,4,1,2,3,0,1
518,2015,12,26,4,6,1,3,3,0,0
519,2015,12,26,18,1,0,6,3,1,0
520,2015,12,26,23,3,1,15,1,0,0
521,2015,12,26,11,3,1,17,2,0,0
522,2015,12,26,10,2,0,25,3,1,2
523,2015,12,26,9,2,0,26,5,1,0
524,2015,12,26,12,1,0,28,2,1,1
525,2015,12,26,16,1,0,29,3,1,0
526,2015,12,27,22,2,0,1,4,1,0
527,2015,12,27,12,3,0,5,5,1,0
528,2015,12,27,6,2,1,7,1,0,0
529,2015,12,27,2,2,1,8,1,0,1
530,2015,12,27,25,0,0,10,3,1,0
531,2015,12,27,9,2,0,13,3,1,0
532,2015,12,27,27,3,1,19,1,0,0
533,2015,12,27,3,1,0,21,3,1,0
534,2015,12,27,23,0,0,30,1,1,0
535,2015,12,28,29,2,1,4,0,0,0
536,2015,12,28,11,1,0,15,3,1,0
537,2015,12,28,20,3,0,17,5,1,0
538,2015,12,28,8,6,1,24,3,0,0
539,2015,12,28,16,4,1,26,3,0,2
540,2015,12,28,14,5,1,28,0,0,0
541,2015,12,29,7,7,1,2,5,0,0
542,2015,12,29,21,3,0,3,7,1,0
543,2015,12,29,10,3,0,9,6,1,0
544,2015,12,29,1,1,1,5,0,0,0
545,2015,12,29,14,5,1,12,2,0,0
546,2015,12,29,16,1,0,13,3,1,0
547,2015,12,29,6,2,0,18,3,1,0
548,2015,12,29,17,3,0,25,4,1,1
549,2015,12,29,19,6,1,27,3,0,0
550,2015,12,29,11,1,0,30,4,1,0
551,2015,12,30,18,3,1,21,0,0,0
552,2015,12,30,27,3,1,23,2,0,2
553,2015,12,30,22,2,0,24,4,1,0
554,2015,12,30,20,5,1,26,2,0,0
555,2015,12,30,4,2,0,29,5,1,0
556,2015,12,31,30,2,0,2,4,1,0
557,2015,12,31,19,2,1,4,1,0,0
558,2015,12,31,29,2,0,6,4,1,0
559,2015,12,31,14,4,1,5,1,0,0
560,2015,12,31,7,4,1,8,3,0,1
561,2015,12,31,17,1,0,10,5,1,0
562,2015,12,31,23,5,1,11,2,0,0
563,2015,12,31,1,1,1,12,0,0,0
564,2015,12,31,15,3,1,25,1,0,0
565,2016,1,1,16,5,1,3,1,0,0
566,2016,1,1,1,1,0,28,2,1,2
567,2016,1,2,11,4,1,4,3,0,0
568,2016,1,2,17,2,1,6,1,0,1
569,2016,1,2,29,4,0,9,5,1,2
570,2016,1,2,5,4,1,8,0,0,0
571,2016,1,2,2,3,0,12,4,1,2
572,2016,1,2,20,0,0,13,3,1,0
573,2016,1,2,22,1,0,14,2,1,0
574,2016,1,2,10,2,0,18,3,1,1
575,2016,1,2,19,2,0,23,5,1,0
576,2016,1,2,30,4,1,24,1,0,0
577,2016,1,2,15,2,0,26,3,1,2
578,2016,1,2,25,1,0,27,4,1,0
579,2016,1,3,30,1,0,1,4,1,0
580,2016,1,3,21,0,0,7,3,1,0
581,2016,1,3,15,1,0,13,2,1,0
582,2016,1,3,10,5,0,19,6,1,0
583,2016,1,4,14,1,0,8,4,1,0
584,2016,1,4,6,0,0,12,1,1,1
585,2016,1,4,11,1,1,18,0,0,0
586,2016,1,4,21,3,1,25,2,0,1
587,2016,1,4,2,3,1,28,2,0,0
588,2016,1,5,29,3,1,3,2,0,0
589,2016,1,5,13,5,1,4,1,0,0
590,2016,1,5,15,4,1,9,2,0,0
591,2016,1,5,26,1,0,5,3,1,0
592,2016,1,5,30,4,1,17,1,0,0
593,2016,1,5,10,2,0,20,6,1,0
594,2016,1,5,16,3,0,22,4,1,0
595,2016,1,5,7,3,1,23,2,0,1
