
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
71,2016-03-16,7:00 PM,,Montreal Canadiens,2,3,L,OT,28,33,10,L 1,,43,52,1,4,1,,22,48,1,6,0,18815,2:58,
72,2016-03-18,7:00 PM,,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-19,7:00 PM,@,Toronto Maple Leafs,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-22,7:00 PM,@,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-26,1:00 PM,,Winnipeg Jets,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-28,7:30 PM,@,Detroit Red Wings,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-29,7:00 PM,@,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,,,
78,2016-03-31,7:00 PM,,Toronto Maple Leafs,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-02,7:00 PM,@,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-05,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-08,7:00 PM,,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,7:30 PM,@,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
