
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
72,2016-03-18,8:00 PM,@,Winnipeg Jets,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-20,8:30 PM,,Minnesota Wild,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-22,8:30 PM,,Dallas Stars,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-26,10:00 PM,@,Calgary Flames,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-27,8:00 PM,@,Vancouver Canucks,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-29,8:00 PM,@,Minnesota Wild,,,,,,,,,,,,,,,,,,,,,,,
78,2016-04-01,8:00 PM,@,Winnipeg Jets,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-03,12:30 PM,,Boston Bruins,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-05,8:30 PM,,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-07,8:30 PM,,St. Louis Blues,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,7:00 PM,@,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,
